id|reportsuiteid|reportsuitename|data|hour|termo|quantidade|createdat
1623||CB - CasasBahia.com.br|09/08/2018|18|guarda roupa|343|2018-08-14 15:54:07.0000000
1624||CB - CasasBahia.com.br|09/08/2018|18|notebook|316|2018-08-14 15:54:07.0000000
1625||CB - CasasBahia.com.br|09/08/2018|18|iphone|292|2018-08-14 15:54:07.0000000
1626||CB - CasasBahia.com.br|09/08/2018|18|geladeira|276|2018-08-14 15:54:07.0000000
1627||CB - CasasBahia.com.br|09/08/2018|18|microondas|306|2018-08-14 15:54:07.0000000
1628||CB - CasasBahia.com.br|09/08/2018|18|sofa|237|2018-08-14 15:54:07.0000000
1629||CB - CasasBahia.com.br|09/08/2018|18|painel para tv|254|2018-08-14 15:54:07.0000000
1630||CB - CasasBahia.com.br|09/08/2018|18|armÃ¡rio de cozinha|154|2018-08-14 15:54:07.0000000
1631||CB - CasasBahia.com.br|09/08/2018|19|celular|829|2018-08-14 15:54:07.0000000
1632||CB - CasasBahia.com.br|09/08/2018|19|guarda roupas de casal|579|2018-08-14 15:54:07.0000000
1633||CB - CasasBahia.com.br|09/08/2018|19|guarda roupa|397|2018-08-14 15:54:07.0000000
1634||CB - CasasBahia.com.br|09/08/2018|19|notebook|347|2018-08-14 15:54:07.0000000
1635||CB - CasasBahia.com.br|09/08/2018|19|iphone|266|2018-08-14 15:54:07.0000000
1636||CB - CasasBahia.com.br|09/08/2018|19|geladeira|277|2018-08-14 15:54:07.0000000
1637||CB - CasasBahia.com.br|09/08/2018|19|microondas|238|2018-08-14 15:54:07.0000000
1638||CB - CasasBahia.com.br|09/08/2018|19|sofa|161|2018-08-14 15:54:07.0000000
1639||CB - CasasBahia.com.br|09/08/2018|19|painel para tv|155|2018-08-14 15:54:07.0000000
1640||CB - CasasBahia.com.br|09/08/2018|19|armÃ¡rio de cozinha|190|2018-08-14 15:54:07.0000000
1641||CB - CasasBahia.com.br|09/08/2018|20|celular|807|2018-08-14 15:54:07.0000000
1642||CB - CasasBahia.com.br|09/08/2018|20|guarda roupas de casal|555|2018-08-14 15:54:07.0000000
1643||CB - CasasBahia.com.br|09/08/2018|20|guarda roupa|487|2018-08-14 15:54:07.0000000
1644||CB - CasasBahia.com.br|09/08/2018|20|notebook|333|2018-08-14 15:54:07.0000000
1645||CB - CasasBahia.com.br|09/08/2018|20|iphone|296|2018-08-14 15:54:07.0000000
